"Fecha","Dolar"
2017-04-21,18.8425
2017-04-22,18.7916666666667
2017-04-23,18.7408333333333
2017-04-24,18.69
2017-04-25,18.9305
2017-04-26,19.149
2017-04-27,19.119
2017-04-28,18.934
2017-04-29,18.8763333333333
2017-04-30,18.8186666666667
2017-05-01,18.761
2017-05-02,18.78
2017-05-03,18.795
2017-05-04,19.0145
2017-05-05,19.004
2017-05-06,19.0378333333333
2017-05-07,19.0716666666667
2017-05-08,19.1055
2017-05-09,19.1225
2017-05-10,18.9705
2017-05-11,18.8825
2017-05-12,18.764
2017-05-13,18.7293333333333
2017-05-14,18.6946666666667
2017-05-15,18.66
2017-05-16,18.6195
2017-05-17,18.628
2017-05-18,18.9265
2017-05-19,18.678
2017-05-20,18.6751666666667
2017-05-21,18.6723333333333
2017-05-22,18.6695
2017-05-23,18.638
2017-05-24,18.5665
2017-05-25,18.466
2017-05-26,18.499
2017-05-27,18.539
2017-05-28,18.579
2017-05-29,18.619
2017-05-30,18.659
2017-05-31,18.655
2017-06-01,18.5775
2017-06-02,18.67
2017-06-03,18.5765
2017-06-04,18.483
2017-06-05,18.3895
2017-06-06,18.2825
2017-06-07,18.2305
2017-06-08,18.1775
2017-06-09,18.1855
2017-06-10,18.1811666666667
2017-06-11,18.1768333333333
2017-06-12,18.1725
2017-06-13,18.078
2017-06-14,17.93
2017-06-15,18.09
2017-06-16,17.9195
2017-06-17,17.925
2017-06-18,17.9305
2017-06-19,17.936
2017-06-20,18.1255
2017-06-21,18.154
2017-06-22,18.112
2017-06-23,17.962
2017-06-24,17.9356666666667
2017-06-25,17.9093333333333
2017-06-26,17.883
2017-06-27,17.9735
2017-06-28,17.889
2017-06-29,18.031
2017-06-30,18.076
2017-07-01,18.1245
2017-07-02,18.173
2017-07-03,18.2215
2017-07-04,18.2755
2017-07-05,18.3295
2017-07-06,18.307
2017-07-07,18.144
2017-07-08,18.0896666666667
2017-07-09,18.0353333333333
2017-07-10,17.981
2017-07-11,17.953
2017-07-12,17.767
2017-07-13,17.739
2017-07-14,17.562
2017-07-15,17.5746666666667
2017-07-16,17.5873333333333
2017-07-17,17.6
2017-07-18,17.499
2017-07-19,17.4775
2017-07-20,17.512
2017-07-21,17.563
2017-07-22,17.6031666666667
2017-07-23,17.6433333333333
2017-07-24,17.6835
2017-07-25,17.763
2017-07-26,17.756
2017-07-27,17.6915
2017-07-28,17.7535
2017-07-29,17.7886666666667
2017-07-30,17.8238333333333
2017-07-31,17.859
2017-08-01,17.8085
2017-08-02,17.82
2017-08-03,17.8845
2017-08-04,17.865
2017-08-05,17.8986666666667
2017-08-06,17.9323333333333
2017-08-07,17.966
2017-08-08,17.9135
2017-08-09,17.9835
2017-08-10,17.874
2017-08-11,17.838
2017-08-12,17.8148333333333
2017-08-13,17.7916666666667
2017-08-14,17.7685
2017-08-15,17.8365
2017-08-16,17.729
2017-08-17,17.747
2017-08-18,17.756
2017-08-19,17.7193333333333
