"Fecha","Clave_producto","Precio_promedio","Desviacion"
2013-09-30,10201,125.882352941176,4.70002688830662
2013-10-01,10201,142.58064516129,2.34572367177613
2013-10-02,10201,121.88679245283,2.66252189408911
2013-10-03,10201,123.979057591623,3.04033113361394
2013-10-03,30201,120,0
2013-10-04,10201,120.558139534884,0.715829634013248
2013-10-04,30201,120,0
2013-10-05,10201,120.571851851852,1.54809074359909
2013-10-05,30201,110.686567164179,16.399866447363
2013-10-06,10201,120,0
2013-10-07,10201,120,0
2013-10-08,10201,122.122983870968,3.82051662412207
2013-10-08,30201,127.978571428571,15.7284517817788
2013-10-09,10201,125.840502183406,6.91393409010672
2013-10-09,30201,111.366279069767,3.04243576575704
2013-10-10,10201,121.672051696284,2.30917677170275
2013-10-10,30201,105.918367346939,1.91954765052846
2013-10-11,10201,120,0
2013-10-11,30201,117.41935483871,2.85719080986148
2013-10-12,10201,116.883116883117,2.2915121484985
2013-10-12,30201,102,0
2013-10-13,10201,109.74358974359,5.15321014659657
2013-10-13,30201,105,0
2013-10-14,10201,116.629213483146,3.38374091819599
2013-10-14,30201,108.93023255814,4.32036615877478
2013-10-15,10201,115.206611570248,3.88409904895882
2013-10-15,30201,108.76404494382,5.10800144969965
2013-10-16,10201,107.826086956522,4.60524627797768
2013-10-16,30201,110.60843373494,4.19949794317219
2013-10-17,10201,108.473684210526,3.96267255706339
2013-10-17,30201,113.407692307692,4.23023669839188
2013-10-18,10201,103.588709677419,2.86173799905042
2013-10-18,30201,107.808641975309,4.72877306859534
2013-10-19,10201,100,0
2013-10-19,30201,105.531439688716,3.63961068427915
2013-10-20,10201,100,0
2013-10-21,10201,100,0
2013-10-21,30201,109.138381201044,3.28130730809049
2013-10-22,10201,100,0
2013-10-22,30201,106.951914893617,3.10272326007865
2013-10-23,10201,100,0
2013-10-23,30201,100.718954248366,0.664645327160463
2013-10-24,30201,108.15425,4.98173481995406
2013-10-25,30201,106.980519480519,4.70000047076825
2013-10-26,30201,110.66257015736,3.83715736390472
2013-10-27,30201,111.530612244898,5.49800291549883
2013-10-28,10201,97.5,0
2013-10-28,30201,105.948872188571,3.55531891332388
2013-10-29,30201,105.645161290323,4.61494699699892
2013-10-31,30201,108.935740537209,3.1471556312232
2013-11-01,30201,114.179347826087,2.1778701621844
2013-11-02,30201,111.206896551724,3.93537614881525
2013-11-03,30201,116.067415730337,3.37440175847134
2013-11-04,10201,105,0
2013-11-04,30201,112.533906882591,2.54475501596004
2013-11-05,30201,110.069615384615,2.9205409064489
2013-11-06,10201,105,0
2013-11-06,30201,110.842391304348,3.59911674566778
2013-11-07,30201,116.404801324503,1.68356911467325
2013-11-08,30201,114.599099099099,3.13594807922732
2013-11-09,10201,110,0
2013-11-09,30201,110.438066465257,0.709595724145937
2013-11-10,30201,115.815384615385,6.13455842180724
2013-11-11,10201,110.909090909091,1.30541892553151
2013-11-11,30201,111.540816326531,1.154891118038
2013-11-12,10201,137,0
2013-11-12,30201,111.219879518072,1.09288376350158
2013-11-13,10201,109.69262295082,0.65979946350138
2013-11-13,30201,110,0
2013-11-14,10201,116.701388888889,6.04324800578906
2013-11-14,30201,112.227564102564,1.02560023286147
2013-11-15,10201,100,0
2013-11-15,30201,100,0
2013-11-16,10201,100,0
2013-11-16,30201,100,0
2013-11-17,10201,100,0
2013-11-17,30201,100,0
2013-11-18,10201,100,0
2013-11-18,30201,100,0
2013-11-19,10201,100,0
2013-11-19,30201,100,0
2013-11-20,10201,100,0
2013-11-20,30201,100,0
2013-11-21,10201,100,0
2013-11-21,30201,100,0
2013-11-22,10201,86.472027972028,0.633968762947186
2013-11-22,30201,87.9673913043478,0.569723704278706
2013-11-23,10201,85.0810185185185,0.0846618439315352
2013-11-23,20301,88.5,0
2013-11-23,30201,85.5994475138122,0.611916785928791
2013-11-24,10201,86.1069042316258,0.847040274016695
2013-11-24,30201,86.5806451612903,1.22584796821726
2013-11-25,10201,85.7572869955157,0.505320489136129
2013-11-25,30201,86.5932642487047,1.07479753756437
2013-11-26,10201,86.2043010752688,0.723742429513985
2013-11-26,30201,85.7114695340502,0.601720055474602
2013-11-27,10201,86.1904761904762,0.668414275944821
2013-11-27,30201,85.3495630461923,0.254335052915505
2013-11-28,10201,85,0
2013-11-28,30201,85.895008605852,0.458952148811321
2013-11-29,10201,69.6767537826685,0.323166394198872
2013-11-29,30201,69.9166666666667,0.0915444143631776
2013-11-30,10201,70.3549695740365,0.351995616278335
2013-11-30,30201,68.2083333333333,1.3841196762432
2013-12-01,10201,69.9248633879781,0.0806837862780247
2013-12-02,10201,70,0
2013-12-02,30201,70.0394477317554,0.305553404665273
2013-12-03,10201,70,0
2013-12-03,30201,69.8924122310306,0.0943248779722713
2013-12-04,10201,70,0
2013-12-04,30201,70.1491442542787,0.213734770209026
2013-12-05,10201,70,0
2013-12-05,30201,69.5508982035928,0.47629029875572
2013-12-06,10201,40,0
2013-12-06,30201,40,0
2013-12-07,10201,40,0
2013-12-07,30201,40,0
2013-12-08,10201,40,0
2013-12-08,30201,40,0
2013-12-09,10201,40,0
2013-12-09,30201,40,0
2013-12-10,10201,40,0
2013-12-10,30201,40,0
2013-12-11,10201,40,0
2013-12-11,30201,40,0
2013-12-12,10201,40,0
2013-12-12,30201,40,0
2013-12-13,10201,25.7851958176944,0.480495664684462
2013-12-13,30201,25,0
2013-12-14,10201,25.200103950104,0.206750012692233
2013-12-14,30201,25.8474576271186,0.917703696924061
2013-12-15,10201,25.3810975,0.396438772974624
2013-12-15,30201,25,0
2013-12-16,10201,25,0
